hhinc8,owncar,longitude,latitude
5,2,-82.99194508,40.04649963
6,2,-82.99584706,40.03738548
5,2,-82.99697268,40.02674247
6,2,-82.99160441,40.03612997
6,2,-82.994716,40.04691778
6,2,-82.99793728,40.04385713
5,2,-82.98986012,40.03789279
4,2,-82.99602685,40.03216463
6,2,-82.99362168,40.0372023
6,2,-82.99622928,40.04306267
4,2,-82.99653096,40.04616299
1,2,-82.9902149,40.03625568
6,2,-82.99069847,40.03985189
4,2,-82.99403717,40.03655089
4,2,-82.99055415,40.04366753
5,2,-82.99364122,40.04178216
7,2,-82.99584715,40.03075066
6,2,-82.99627301,40.0369552
5,2,-82.99410604,40.03559228
4,2,-82.9913903,40.03880838
6,2,-82.99169896,40.03550383
5,2,-82.99288188,40.04491469
5,2,-82.99573021,40.03448034
4,2,-82.99472001,40.0475429
3,2,-82.99483719,40.03577767
5,2,-82.99339956,40.02508751
4,2,-82.99357917,40.03568081
1,1,-82.99259283,40.03955416
7,2,-82.99357875,40.04067874
7,2,-82.98999305,40.03473949
4,2,-82.99734447,40.0348935
5,2,-82.99137057,40.04069784
8,2,-82.99389462,40.04000788
5,2,-82.99288823,40.0422943
5,2,-82.99370708,40.03699981
6,2,-82.99753176,40.04166604
6,2,-82.99044755,40.04439238
5,2,-82.99359794,40.04610433
4,2,-82.99282886,40.03844099
4,2,-82.99417604,40.04463312
4,2,-82.99151063,40.02897413
5,2,-82.99226137,40.03065481
6,2,-82.99475193,40.03381496
7,2,-82.99096666,40.04762968
4,2,-82.99184997,40.04341787
4,2,-82.99004608,40.04278485
6,2,-82.98920717,40.0472688
5,2,-82.99058385,40.04607316
5,2,-82.99251917,40.03969377
5,2,-82.99760814,40.04371434
5,2,-82.99053804,40.03776431
5,2,-82.99252181,40.02872762
4,2,-82.99012397,40.04495144
3,1,-82.99183373,40.03756789
5,2,-82.99218446,40.04752416
7,2,-82.996397,40.02428784
4,2,-82.99256328,40.0391632
4,2,-82.99191563,40.02690631
5,2,-82.99260993,40.04637107
5,2,-82.99172756,40.0386005
5,1,-82.99117886,40.03565794
6,2,-82.99153952,40.04179375
5,2,-82.99641762,40.04710909
5,2,-82.99526226,40.03360939
4,2,-82.99154453,40.02801014
7,2,-82.99298019,40.02912316
7,2,-82.98980825,40.0473091
8,2,-82.9964069,40.03875956
5,2,-82.98965181,40.04257077
7,2,-82.99145883,40.03071723
5,2,-82.99627479,40.0362736
6,2,-82.99152724,40.03858848
7,2,-82.99678667,40.03269025
5,2,-82.99584371,40.02506095
5,2,-82.99585335,40.02453712
5,2,-82.99323763,40.03426436
5,2,-82.99350704,40.04100982
5,2,-82.99302661,40.0300133
5,2,-82.99511527,40.04065459
4,2,-82.99703808,40.0293539
2,2,-82.99118157,40.03705034
5,2,-82.99408204,40.04539219
5,2,-82.98890705,40.04315993
6,2,-82.99477512,40.02671596
5,1,-82.99277472,40.02627575
5,1,-82.9947772,40.04234496
6,2,-82.99659006,40.04116432
4,2,-82.99736568,40.03364801
6,2,-82.9918138,40.02894003
1,2,-82.99169304,40.03690904
1,1,-82.99404691,40.03003972
3,2,-82.99543205,40.03201407
1,1,-82.99579913,40.04248941
5,2,-82.99075328,40.04313578
5,2,-82.99426122,40.02529283
5,2,-82.99544647,40.04533653
